,name,location,about,tags,overallRating,overallRatingCnt
28,The Southern Ridges,"Alexandra Road Mount Faber Park; Telok Blangah Hill Park; or Kent Ridge Park, Singapore 099203 Singapore","Bridging the hills of Mount Faber Park, Telok Blangah Hill Park and Kent Ridge Park, the Southern Ridges combine invigorating exercise with spectacular views across Singapore.",Hiking Trails • Scenic Walking Areas,4.5,"1,173"
29,East Coast Park,"Along East Coast Parkway and East Coast Park Service Road, Singapore 455486 Singapore","The city’s most popular stretch of beach always buzzes with activity – even when it’s not playing host to the wide spectrum of sporting events that grace its shores regularly, like the Singapore Marathon and Xtreme Championship.",Beaches • Parks,4.5,"1,221"
30,The Helix Bridge,"Linking between Marina Bay and Marina Centre, Singapore 038981 Singapore","Linking Marina Bay to Marina Centre, the Helix Bridge, is set to become Singapore’s next landmark. Located beside the Benjamin Sheares Bridge, alongside the vehicular Bayfront Bridge, it was officially opened on 24 April 2010 and is the world’s first curved bridge.",Historic Walking Areas • Bridges,4.5,"2,896"
31,MacRitchie Reservoir,,,Bodies of Water,4.5,859
32,Waterfront Promenade,,,Scenic Walking Areas,4.5,"4,410"
33,Chinese and Japanese Gardens,"1 Chinese Garden Road Chinese Garden, Singapore 619795 Singapore",The stunning colors of the plants and rock formations in the Chinese Garden contrast with the thought-provoking Japanese Garden.,Gardens,4.0,746
34,Fort Canning Park,"River Valley Rd, Singapore 179038 Singapore","Fort Canning Park is one of Singapore's most historic landmarks. It has witnessed Singapore's golden age, when Malay Kings ruled from its peak, and watched as the island transformed from a sleepy fishing village into a vibrant trading hub in the 19th century. During World War II, the hill was instrumental in Singapore's war efforts with numerous military buildings located there. One of these buildings was the Fort Canning Bunker or Battle Box, where the decision to surrender Singapore to the Japanese was made by the British. Many war relics from Singapore's colourful history have survived on the hill and are still visible today.Although the hill has since lost its imposing stature, its distinctive charm still remains. The lush lawns draw picnics, concerts, theatre productions and festivals, while weddings, parties and gatherings are a regular sight in the park's elegant indoor function rooms. Visit the park today and experience the tranquillity once enjoyed by the Malay royals of yore.",Parks,4.0,"1,079"
35,F1 - Singapore Grand Prix,"Marina Bay Street Circuit, Singapore 038975 Singapore","The Formula One Singapore Grand Prix was the inaugural F1 night race back in 2008, and has since been an annual event car enthusiasts from all over the world look forward to watching in the month of September in Singapore. Other than watching the car racers flaunt their latest technology on the tracks, another highlight of the night race is the illuminated Singapore skyline, which photography fanatics will not want to miss.",Sporting Events,4.5,595
36,The Shoppes at Marina Bay Sands,"10 Bayfront Avenue Marina Bay Sands, Singapore 018972 Singapore","The Shoppes at Marina Bay Sands(R) is one of Singapore's largest luxury shopping malls, with over 800,000 square feet of high-end retail shoppes such as Louis Vuitton, Miu Miu and Chanel. This eye-catching modern shopping mecca features a contemporary and open design, with breathtaking views of Singapore's city skyline. Located in the heart of the Central Business District, visitors can look forward to a refreshing mix of international luxury brands, emerging labels and new concepts.",Shopping Malls,4.5,"2,194"
37,Arab Street,,"Visitors who enjoy a little bargaining will find it here among the historic shops selling textiles, perfume and more. Along with traditional Muslim food offerings, some Western restaurants have settled into the area, creating a Singaporean blend of cultures. Make sure to stop at the island’s largest mosque, the Sultan Mosque, a landmark in the Kampong Glam Malay Heritage District.",Neighborhoods,4.0,"2,300"
38,Sungei Buloh Wetland Reserve,"301 Neo Tiew Crescent Sungei Buloh Wetland Reserve, Singapore 718925 Singapore","This 200-acre reserve, situated north of the island, is home to over 150 species of rare and exotic birds.",Nature &amp; Wildlife Areas,4.5,542
39,Chijmes,"30 Victoria Street Chijmes, Singapore 187996 Singapore","CHIJMES (pronounced “chimes”) stands for the Convent of the Holy Infant Jesus, a Neo-Classical style building which houses one of Singapore’s most aesthetically-pleasing dining and entertainment venues.",Historic Sites,4.0,760
40,Haw Par Villa,"262 Pasir Panjang Road Haw Par Villa 1-min walk from Haw Par Villa MRT Station, Singapore 118628 Singapore","Haw Par Villa - formerly known as the Tiger Balm Garden – is an 8.5-hectare Asian cultural park, the last of its kind in the world. Built in 1937, Singapore’s largest outdoor art gallery is the brainchild of Aw Boon Haw, millionaire philanthropist and marketing extraordinaire who gifted the world Tiger Balm. The eclectic park is a treasure trove of Asian culture, history, philosophy and religion – quirky yet enlightening at the same time. Since 2015, it is managed Journeys Pte Ltd, an award-winning heritage specialist passionate in preserving and bringing the heritage gem to greater heights.",Historic Sites • Amusement &amp; Theme Parks • Gardens,4.0,877
41,Chinatown Heritage Centre,"48 Pagoda Street, Singapore 059207 Singapore","The colourful past of Chinatown comes alive within the walls of these three beautifully-restored shophouses on Pagoda Street, comfortably nestled in the midst of Singapore's bustling Chinatown district. Every nook and cranny in the Chinatown Heritage Centre pulsates with the memories of yesteryear, offering an experience like no other as one is transported to Chinatown in the budding years of Singapore's establishment as a seaport. From the desperate hopefulness of the many ""Sinkheh"" (new migrants) - risking life and limb to embark on an arduous journey from the various Chinese provinces to the promised land of Singapore - to the raw, seedy and underground practices of gambling dens and secret societies, be prepared to experience a sense of nostalgia and sentimentality as you step into the pages of Chinatown's history. The Chinatown Heritage Centre is the only place in Singapore that has recreated the original interiors of its shophouse tenants in the 1950s, offering visitors an honest, revealing glimpse into the lives of Chinatown's early residents.",Speciality Museums,4.5,"1,099"
42,Butterfly Garden,,,Gardens,4.5,647
43,Henderson Waves,"221 Henderson Road Henderson Building, Singapore 159557 Singapore","Henderson Waves, the highest pedestrian bridge in Singapore, connects Mount Faber Park to Telok Blangah Hill Park.",Bridges,4.5,630
44,Wild Wild Wet,"1 Pasir Ris Close E!Hub@Downtown East, Singapore 519599 Singapore","There's a better way to get wet at one of Singapore's largest waterparks! Experience the first raft slide in Southeast Asia, Ular-Lah is a super flume ride that offers you a chance to brave the rapids, or plunge down a four-storey ramp, accelerating until you hit the deck and skimming across to soar on the opposite side. Wild Wild Wet is open from 10am to 6pm on Singapore Public Holidays, and School Holidays.",Water Parks,4.0,432
45,VivoCity,"1 Harbourfront Walk Vivo City, Singapore 098585 Singapore","""As Singapore’s largest retail and lifestyle destination, VivoCity is an imposing part of the country’s plethora of shopping options. Located next to the water across from Sentosa Island, the mall is beautifully set up as an easygoing and fun shopping destination. Japanese architect Toyo Ito has made full use of wide open spaces to ensure it is full of vitality and energy, and VivoCity is also home to a series of artworks, has an open-air playground for the kids and a rooftop amphitheatre. """,Shopping Malls,4.0,"1,447"
46,Science Centre Singapore,"15 Science Centre Road Singapore Science Centre, Singapore 609081 Singapore","Science Centre Singapore is dedicated to the promotion of science and technology among students and members of the public. As a leading Science Centre in the region, it has twelve exhibition galleries with more than 1,000 interactive exhibits.",Science Museums,4.0,771
47,Esplanade - Theatres on the Bay,"1 Esplanade Drive Esplanade - Theatres On the Bay, Singapore 038981 Singapore","Affectionately known among locals as the ""durian"", Esplanade is one of the busiest arts centres in the world with about 3,000 performances presented yearly. Spot our prickly cladding in the middle of the central arts and cultural district, and take in the view from the Marina bay waterfront where our Outdoor Theatre is situated. Coming to Esplanade means that you're in for a complete lifestyle experience, from enjoying a night out at a show, to shopping and dining. And whether you're a first-timer, an ardent patron or fellow arts lover, you're most welcome here and we'll do our best to give you a great experience with the arts.",Points of Interest &amp; Landmarks • Theaters,4.5,"1,085"
48,Kampong Glam,,"Its major landmark, the Sultan Mosque, sits in the heart of this enclave and is open to all visitors, as is the nearby Malay Heritage Centre, where you’ll learn about Malay history and culture.",Neighborhoods,4.5,480
49,Suntec City,"3 Temasek Boulevard Suntec City, Singapore 038983 Singapore","Dazzle your senses in exploring many wonderful experiences at Suntec City, one of Singapore's largest shopping, dining and entertainment hub. Whether you're seeking for a retail therapy from over 360 outlets, hungering for a delectable bite from more than 100 food and beverage outlets, or simply longing for some excitement, Suntec City will be your must-stop in Singapore. Daily Touch Water Sessions: 10am -12pm, 2pm - 4pm and 6pm – 7.30pm Tourist Exclusive: Spend $150 to receive $15 Suntec City Vouchers, Alipay users will only need to spend $120. Visit our Customer Service Counters for more information.",Shopping Malls,4.0,645
50,Boat Quay,"1 Bonham Street Uob Building, Singapore 049782 Singapore",,Points of Interest &amp; Landmarks • Piers &amp; Boardwalks,4.0,"1,248"
51,Marina Barrage,"8 Marina Gardens Drive Marina Barrage, Singapore 018951 Singapore","Be captivated by the bright lights of the Singapore Flyer and the Central Business District skyline against the sky at sunset, reflected in the still waters of the Marina Barrage. This Reservoir in the City was created with three key benefits, to provide water supply, flood control and a lifestyle attraction.",Marinas • Points of Interest &amp; Landmarks,4.0,681
52,Peranakan Museum,"39 Armenian Street Peranakan Museum, Singapore 179941 Singapore","This place is temporarily closed. The Peranakan Museum explores the culture of Peranakan communities in Southeast Asia. Installed in the former Tao Nan Chinese School, built in 1912, this intimate museum possesses one of the finest and most comprehensive collections of Peranakan objects. Galleries on three floors illustrate the cultural traditions and the distinctive visual arts of the Peranakans. The Peranakan Museum provides a stimulating and educational experience for all, while representing the living culture of the Peranakan community in the region. The museum is a component of the Asian Civilisations Museum, operating under the National Heritage Board.",Speciality Museums,4.5,"1,234"
53,Bukit Timah Nature Reserve,"177 Hindhede Drive Bukit Timah Vhf Station, Singapore 589333 Singapore","This protected rainforest, just 12km away from the city's high-rises, offers hiking and bike trails for observing some of the rarest insect, bird and mammal species in the world.",Hiking Trails,4.0,420
54,ArtScience Museum at Marina Bay Sands,"10 Bayfront Avenue Marina Bay Sands, Singapore 018956 Singapore","ArtScience Museum is an iconic cultural landmark in Singapore and the cultural component of Marina Bay Sands. With 21 gallery spaces, ArtScience Museum has held large-scale exhibitions by some of the world’s major artists, including Leonardo da Vinci, M.C. Escher, Salvador Dalí, Andy Warhol and Vincent Van Gogh since opening in February 2011. In addition, we have presented significant exhibitions that explore aspects of science including including particle physics, big data, robotics, palaeontology, marine biology and space exploration.",Speciality Museums,4.0,"1,659"
55,Singapore City Gallery,"45 Maxwell Road The Ura Centre The URA Centre, Level 2, Singapore 069118 Singapore","Singapore City Gallery is a great starting point to get to know the city for free. Located beside the Maxwell food centre in the historic district of Chinatown, this 3 storey visitor centre goes beneath the skin of the city to understand how the city came to be, that even though it’s a dense built-up city of tar, glass and concrete, it is still so green, has memorable buildings, historic districts and walkable streets. You can imagine and design your own version of Marina Bay or explore plans long into the future like Greater Southern Waterfront city. The main draw is an enormous model replica of the City Centre with uncannily accurate miniatures of building and streetscapes. Look out for an illustrative map drawn by Lee Xin Li. It will sure to bring back memories of Singapore, past and present. Before you leave, catch the dramatic 3-min Island Wide Model show screened every 20 mins at level 1.",Speciality Museums,4.5,512
56,Raffles City,"252 North Bridge Rd, Singapore 179101 Singapore","""Situated in the Civic District close to historic and tourist sites, Raffles City Shopping Centre is a haven for consumers looking for luxury items. Built on the site of a former school (Raffles Institution), Raffles City is downtown shopping at its finest. The mall has a number of luxury and designer stores such as Omega, Thomas Sabo, Cortefiel and Tommy Hilfiger, among others. Here, you’ll also find big department stores like Marks &amp; Spencer and Robinsons, and fashion chains like Topshop, River Island and Skyla. In fact, Raffles City covers most shopping bases with fashion, books, music, sports, toys, eyewear and beauty all available above the City Hall MRT station, which makes getting here all the more convenient. """,Shopping Malls,4.0,523
57,Satay Street,,,Flea &amp; Street Markets,4.0,198
58,The Pinnacle @ Duxton,"1 Cantonment Road The Pinnacle @ Duxton, Singapore 080001 Singapore",,Points of Interest &amp; Landmarks,4.5,249
59,Lau Pa Sat Festival Pavilion,"18 Raffles Quay Telok Ayer Festival Market, Singapore 048582 Singapore",,Historic Sites • Flea &amp; Street Markets,4.0,"1,566"
60,Little India,,"An experience for all five senses. Start at the Tekka Centre, a traditional wet market and food court where fresh meat, seafood, vegetables, fruits and dry goods are sold. Cruise down Serangoon Road to find more groceries, restaurants, teahouses, tailors and Mustafa Centre, a massive department store selling anything and everything. Visit during Deepavali, the Hindu festival of light, held in October or November.",Neighborhoods,4.0,"4,054"
61,Night Safari,"80 Mandai Lake Road, Singapore 729826 Singapore","As dusk falls, get ready as over 1,000 nocturnal animals start their nightly rituals. Come up close to them as they frolic, graze and hunt. With an exciting tram ride that takes you through 7 geographical regions and more, embark on a fascinating journey through the world's very first wildlife night park.",Nature &amp; Wildlife Areas • Zoos,4.0,"12,156"
62,Sultan Mosque,"3 Muscat Street Masjid Sultan, Singapore 198833 Singapore","A century later in 1928, Denis Santry, an architect of Swan and McLaren, employed the Islamic-Saracenic style that combines ideas from Indian and Islamic traditions, designing a Mosque that incorporated the use of minarets and balusters.",Points of Interest &amp; Landmarks • Religious Sites,4.0,"1,064"
63,The Intan,"69 Joo Chiat Terrace, Singapore 427231 Singapore","VISITS ARE STRICTLY BY APPOINTMENTS Founded in 2003, The Intan is a Peranakan heritage home-museum. The brainchild of antique collector and owner Alvin Yapp, The Intan (meaning 'rose-cut diamond' in Malay) enlightens its guests about the multi-facetted aspects of Peranakan culture through a kaleidoscope of rare historical artefacts, intriguing personal stories, and authentic dining experiences. Located in the heart of Joo Chiat, a traditional Peranakan enclave and Singapore's first heritage town (2011), The Intan offers personalised tours conducted by Alvin, which culminate with authentic Peranakan tea sessions and dinners inspired by his mother. The Intan also doubles up as a unique event space, having hosted a variety of activities that included jewellery exhibitions, art shows and violin recitals. Voted Best Overall Experience in Singapore's inaugural Museum Roundtable Awards, The Intan has been featured internationally on CNN Travel, Discovery Channel and National Geographic. Singapore Travelholic lists The Intan as the top 5 Peranakan activities to do in Singapore. With a vision to promote Peranakan culture beyond Singapore, The Intan's collection has been showcased in places such as Croatia, Hawaii, Hong Kong, Moscow, London and Barcelona.",Speciality Museums,5.0,586
64,Mount Faber,"109 Mount Faber Road Faber Peak Faber Peak, Singapore 099203 Singapore","Take in sweeping views of the Singaporean Central Business District, have a meal at one of its food and retail outlets, and travel to Sentosa from the park. Mount Faber is certainly worth visiting, whether you’re looking for meal options or breathtaking city views.",Nature &amp; Wildlife Areas,4.0,395
65,Mustafa Centre,"145 Syed Alwi Road Mustafa Centre, Singapore 207704 Singapore","""Rarely seen without a bustling crowd of customers, Mustafa Centre is set in the Little India district. A cult favourite in the Singaporean shopping scene, it’s the best place to go if you’re after a bargain or enjoy shopping late into the twilight hours. Mustafa may not be as fancy as some of Singapore’s other malls, but it has a great range of items, and good prices to match. Here, you’ll get a bargain on just about everything, from clothes, perfume, souvenirs, electronics, makeup, confectionery and even food and groceries. """,Shopping Malls,4.0,"3,052"
66,ION Orchard,"2 Orchard Turn Ion Orchard, Singapore 238801 Singapore","ION Orchard brings together the world’s best-loved brands in flagship, concept and lifestyle stores over eight levels of intelligently designed shopping space. Experience a unique shopping experience at over 300 retail, F&amp;B and lifestyle stores, which include the duplex flagships of six stores, carefully selected for their strong branding and innovative retail concepts. In addition to a coveted stable of brands, an extensive food hall offers visitors a myriad of food choices ranging from local favourites to international cuisines. Find one-of-a-kind items, exclusive collections and more at the many new-to-market brands, flagship stores and new concept boutiques.",Observatories &amp; Planetariums • Shopping Malls,4.0,"1,022"
67,National Library of Singapore,"100 Victoria Street National Library Building, Singapore 188064 Singapore",,Libraries,4.5,570
68,Katong District,,,Neighborhoods,4.0,252
69,Takashimaya Singapore,"391 Orchard Road Ngee Ann City Tower a Takashimaya Department Store, Singapore 238873 Singapore","Takashimaya is another Japanese retail giant which has an upmarket department store catering to the more affluent consumer. It has restaurants, a spa, slimming services, boutiques, a gym, drycleaners, and even an art gallery.","<div class=""WlYyy diXIH dDKKM"">Takashimaya is another Japanese retail giant which has an upmarket department store catering to the more affluent consumer. It has restaurants, a spa, slimming services, boutiques, a gym, drycleaners, and even an art gallery.</div>",4.0,715
70,Parkview Square,"600 North Bridge Road Parkview Square, Singapore 188778 Singapore","Described as imposing and monumental, the open plaza of Parkview Square is surrounded by sculptures and statues, with an impressive number of bronze effigies of famous historical characters.",Architectural Buildings,4.5,164
71,National Stadium,"2 Stadium Walk, Singapore 397718 Singapore","With a maximum capacity of 55,000 people, the National Stadium was not only was it a focal point for the nation’s sporting, cultural, entertainment and national events, it is also the spiritual home of The Lions, Singapore’s national football team.",Arenas &amp; Stadiums,4.0,168
